date,state,cases_pct,deaths_pct,people_fully_vaccinated_per_hundred,variants_total
2020-02-12,Arizona,1.4395355482507123e-07,0.0,,
2020-02-12,California,1.7880515244927299e-07,0.0,,
2020-02-12,Illinois,1.5598802542324036e-07,0.0,,
2020-02-12,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-12,Texas,3.586132354462646e-08,0.0,,
2020-02-12,Washington,1.3709267025812905e-07,0.0,,
2020-02-12,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-13,Arizona,1.4395355482507123e-07,0.0,,
2020-02-13,California,1.7880515244927299e-07,0.0,,
2020-02-13,Illinois,1.5598802542324036e-07,0.0,,
2020-02-13,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-13,Texas,7.172264708925292e-08,0.0,,
2020-02-13,Washington,1.3709267025812905e-07,0.0,,
2020-02-13,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-14,Arizona,1.4395355482507123e-07,0.0,,
2020-02-14,California,1.7880515244927299e-07,0.0,,
2020-02-14,Illinois,1.5598802542324036e-07,0.0,,
2020-02-14,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-14,Texas,7.172264708925292e-08,0.0,,
2020-02-14,Washington,1.3709267025812905e-07,0.0,,
2020-02-14,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-15,Arizona,1.4395355482507123e-07,0.0,,
2020-02-15,California,1.7880515244927299e-07,0.0,,
2020-02-15,Illinois,1.5598802542324036e-07,0.0,,
2020-02-15,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-15,Texas,7.172264708925292e-08,0.0,,
2020-02-15,Washington,1.3709267025812905e-07,0.0,,
2020-02-15,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-16,Arizona,1.4395355482507123e-07,0.0,,
2020-02-16,California,1.7880515244927299e-07,0.0,,
2020-02-16,Illinois,1.5598802542324036e-07,0.0,,
2020-02-16,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-16,Texas,7.172264708925292e-08,0.0,,
2020-02-16,Washington,1.3709267025812905e-07,0.0,,
2020-02-16,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-17,Arizona,1.4395355482507123e-07,0.0,,
2020-02-17,California,1.7880515244927299e-07,0.0,,
2020-02-17,Illinois,1.5598802542324036e-07,0.0,,
2020-02-17,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-17,Nebraska,5.25000525000525e-06,0.0,,
2020-02-17,Texas,7.172264708925292e-08,0.0,,
2020-02-17,Washington,1.3709267025812905e-07,0.0,,
2020-02-17,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-18,Arizona,1.4395355482507123e-07,0.0,,
2020-02-18,California,1.7880515244927299e-07,0.0,,
2020-02-18,Illinois,1.5598802542324036e-07,0.0,,
2020-02-18,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-18,Nebraska,5.25000525000525e-06,0.0,,
2020-02-18,Texas,7.172264708925292e-08,0.0,,
2020-02-18,Washington,1.3709267025812905e-07,0.0,,
2020-02-18,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-19,Arizona,1.4395355482507123e-07,0.0,,
2020-02-19,California,1.7880515244927299e-07,0.0,,
2020-02-19,Illinois,1.5598802542324036e-07,0.0,,
2020-02-19,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-19,Nebraska,5.25000525000525e-06,0.0,,
2020-02-19,Texas,7.172264708925292e-08,0.0,,
2020-02-19,Washington,1.3709267025812905e-07,0.0,,
2020-02-19,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-20,Arizona,1.4395355482507123e-07,0.0,,
2020-02-20,California,2.0434874565631197e-07,0.0,,
2020-02-20,Illinois,1.5598802542324036e-07,0.0,,
2020-02-20,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-20,Nebraska,5.775005775005775e-06,0.0,,
2020-02-20,Texas,7.172264708925292e-08,0.0,,
2020-02-20,Washington,1.3709267025812905e-07,0.0,,
2020-02-20,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-21,Arizona,1.4395355482507123e-07,0.0,,
2020-02-21,California,2.2989233886335097e-07,0.0,,
2020-02-21,Illinois,1.5598802542324036e-07,0.0,,
2020-02-21,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-21,Nebraska,5.775005775005775e-06,0.0,,
2020-02-21,Texas,1.4344529417850585e-07,0.0,,
2020-02-21,Washington,1.3709267025812905e-07,0.0,,
2020-02-21,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-22,Arizona,1.4395355482507123e-07,0.0,,
2020-02-22,California,2.2989233886335097e-07,0.0,,
2020-02-22,Illinois,1.5598802542324036e-07,0.0,,
2020-02-22,Massachusetts,1.464087471613174e-07,0.0,,
2020-02-22,Nebraska,5.775005775005775e-06,0.0,,
2020-02-22,Texas,1.4344529417850585e-07,0.0,,
2020-02-22,Washington,1.3709267025812905e-07,0.0,,
2020-02-22,Wisconsin,1.7305846572594393e-07,0.0,,
2020-02-23,Arizona,1.4395355482507123e-07,0.0,,
